Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
GEMI	"[""GEMI""]"	nGNX2xrk7V	2026-05-14 09:14:00	GEMINI SPACE STATION, INC. INVESTORS WITH LOSSES HAVE UNTIL MAY 18, 2026 TO JOIN SECURITIES CLASS ACTION – Bernstein Liebhard LLP Announces Deadline	Globe Newswire	38.2	2026-05-14 09:14:00.298616	0.1438	0.1671	0.6891	-0.0233	neutral	0.032	2026-05-14 09:14:01.337419	1130.85	NO:sentiment_score
PLYX	"[""PLYX""]"	nGNX3YMbyP	2026-05-14 09:15:00	Polaryx Therapeutics Receives GHP Magazine’s Healthcare & Pharmaceuticals Awards	Globe Newswire	3.88	2026-05-14 09:15:00.265198	0.6403	0.0213	0.3384	0.6189	positive	0.3246	2026-05-14 09:15:02.086483	1883.41	NO:sentiment_score
IPST	"[""IPST""]"	nGNX4Pgjgz	2026-05-14 09:17:45	IP Strategy Regains Compliance with Nasdaq Continued Listing Standards	Globe Newswire	0.53	2026-05-14 09:17:45.273169	0.733	0.0242	0.2428	0.7088	positive	0.0978	2026-05-14 09:17:45.918181	741.65	YES
TOMZ	"[""TOMZ""]"	nGNX9PPCyY	2026-05-14 09:20:00	TOMI Environmental Solutions, Inc. Announces Second SteraMist Hybrid System Installation Contract with a World-Renowned East Coast Research University	Globe Newswire	11.66	2026-05-14 09:20:00.277095	0.8134	0.0153	0.1712	0.7981	positive	0.4967	2026-05-14 09:20:03.088540	2905.51	YES
IPWR	"[""IPWR""]"	nPn47vHHza	2026-05-14 09:20:00	Ideal Power Reports First Quarter 2026 Financial Results	PR Newswire	10.16	2026-05-14 09:20:00.431854	0.1273	0.0886	0.7842	0.0387	neutral	0.1622	2026-05-14 09:20:05.843222	5511.05	NO:sentiment_score
FT	"[""FT""]"	nBwbtHDKda	2026-05-14 09:22:00	Fortune Minerals Receives Water Licence and Land Use Permit for the NICO Project Access Road	Business Wire	25.13	2026-05-14 09:22:00.300949	0.1927	0.0236	0.7837	0.169	positive	0.1903	2026-05-14 09:22:01.687389	1463.96	NO:sentiment_score
SLXN	"[""SLXN""]"	nGNX3JVTwt	2026-05-14 09:27:00	Silexion Therapeutics Reports Positive Preliminary Immunotherapy Findings for SIL204 in KRAS-Driven Pancreatic Cancer	Globe Newswire	3.77	2026-05-14 09:27:00.485039	0.9174	0.0237	0.0588	0.8937	positive		2026-05-14 09:27:01.954572	1568.34	YES
MOBX	"[""MOBX""]"	nBw5mj2h6a	2026-05-14 09:40:00	MOBX to Acquire U.S. Defense Rare Earth, Critical Minerals Company	Business Wire	8.55	2026-05-14 09:40:00.597277	0.0949	0.0209	0.8843	0.074	positive		2026-05-14 09:40:00.987686	481.45	NO:sentiment_score
SAP	"[""SAP""]"	nGNXbXMrXy	2026-05-14 10:00:00	Saputo Inc.: Fiscal 2026 Fourth Quarter and Year-End Results	Globe Newswire	1170.0	2026-05-14 10:00:00.651127	0.1085	0.0991	0.7924	0.0094	neutral		2026-05-14 10:00:01.109216	559.4	NO:sentiment_score,Float
LGO	"[""LGO""]"	nNFC1zbFdQ	2026-05-14 10:08:33	Largo Reports Q1 2026 Financial Results Reflecting Strong Operating Performance at Maracás Menchen Mine and the Impact of High U.S. Import Tariffs on Brazilian Products in Early 2026	Newsfile Corp	49.59	2026-05-14 10:08:33.403134	0.8882	0.0477	0.0641	0.8405	positive	0.3252	2026-05-14 10:08:42.395387	9079.99	YES
III	"[""III""]"	nBw51VTVga	2026-05-14 11:00:00	ISG to Study Enterprise Service Management Providers	Business Wire	33.28	2026-05-14 11:00:00.698486	0.1298	0.0239	0.8463	0.106	positive	0.278	2026-05-14 11:00:03.395068	2748.64	NO:sentiment_score
ARDT	"[""ARDT""]"	nACS4hkNKa	2026-05-14 11:00:01	Bronstein, Gewirtz & Grossman, LLC Is Investigating Ardent Health, Inc. (ARDT) And Encourages Shareholders to Connect	ACCESSWIRE	22.42	2026-05-14 11:00:01.250772	0.1536	0.1566	0.6898	-0.0031	neutral	0.0029	2026-05-14 11:00:03.644244	2479.17	NO:sentiment_score
LAKE	"[""LAKE""]"	nACSvB8q2a	2026-05-14 11:00:02	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Lakeland Industries, Inc. (LAKE) and Encourages Investors to Learn More About the Investigation 	ACCESSWIRE	8.44	2026-05-14 11:00:02.231920	0.2058	0.1042	0.69	0.1016	positive	0.0587	2026-05-14 11:00:05.156786	1505.39	NO:sentiment_score
UHG	"[""UHG""]"	nACS0nnLBa	2026-05-14 11:00:01	UHG INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	11.21	2026-05-14 11:00:01.476872	0.1615	0.2803	0.5582	-0.1188	negative		2026-05-14 11:00:05.919859	2512.84	NO:sentiment_score
DMRC	"[""DMRC""]"	nACS71f6Za	2026-05-14 11:00:02	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Digimarc Corporation (DMRC) And Encourages Shareholders to Reach Out	ACCESSWIRE	16.8	2026-05-14 11:00:02.628049	0.2345	0.0315	0.734	0.203	positive	0.0842	2026-05-14 11:00:06.529038	1369.22	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSLYW93a	2026-05-14 11:00:02	Bronstein, Gewirtz & Grossman, LLC Encourages Gaia, Inc. (GAIA) Investors to Inquire about Securities Investigation	ACCESSWIRE	17.79	2026-05-14 11:00:02.953626	0.0971	0.0258	0.877	0.0713	positive	-0.4219	2026-05-14 11:00:07.361147	1439.32	NO:sentiment_score
VTGN	"[""VTGN""]"	nACSP18VJa	2026-05-14 11:00:03	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Vistagen Therapeutics, Inc. (VTGN) And Encourages Shareholders to Reach Out	ACCESSWIRE	33.78	2026-05-14 11:00:03.286756	0.1984	0.0554	0.7462	0.1429	positive	0.0382	2026-05-14 11:00:07.922752	1376.45	NO:sentiment_score
FTFT	"[""FTFT""]"	nACSHtZZva	2026-05-14 11:00:03	Future FinTech Group Inc. (FTFT) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	2.33	2026-05-14 11:00:03.387005	0.2621	0.0256	0.7123	0.2365	positive	0.0569	2026-05-14 11:00:08.748076	1371.01	NO:sentiment_score
LEE	"[""LEE""]"	nACSJJ35Pa	2026-05-14 11:00:03	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Lee Enterprises, Inc. (LEE) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	5.91	2026-05-14 11:00:03.888998	0.2231	0.0483	0.7286	0.1747	positive	-0.0655	2026-05-14 11:00:09.541593	1608.63	NO:sentiment_score
PMI	"[""PMI""]"	nACSd9Sh2a	2026-05-14 11:00:04	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Picard Medical, Inc. (PMI) And Encourages Shareholders to Reach Out	ACCESSWIRE	24.95	2026-05-14 11:00:05.167906	0.2248	0.0875	0.6877	0.1373	positive	-0.0271	2026-05-14 11:00:10.776062	1225.69	NO:sentiment_score
ARTW	"[""ARTW""]"	nACSglCbfa	2026-05-14 11:00:03	Art's Way Scientific And Dan Palmer Honored At 2026 World Of Modular	ACCESSWIRE	2.12	2026-05-14 11:00:03.981322	0.2258	0.0531	0.7211	0.1727	positive	-0.0013	2026-05-14 11:00:10.795528	2042.03	NO:sentiment_score
NMI	"[""NMI""]"	nACSLDJBKa	2026-05-14 11:11:23	Namibia Critical Metals Announces Results of Annual General Meeting of Shareholders and Issuance of Options	ACCESSWIRE	11.28	2026-05-14 11:11:23.200722	0.0741	0.032	0.8939	0.0421	neutral	0.0319	2026-05-14 11:11:25.352182	2243.48	NO:sentiment_score
MLGO	"[""MLGO""]"	nPn1SQGJwa	2026-05-14 11:40:00	MicroAlgo Inc. Develops Multi-Objective Evolutionary Algorithm to Advance Quantum Circuit Innovation	PR Newswire	5.81	NASDAQ	2026-05-14 11:40:00.177175	0.1286	0.0142	0.8571	0.1144	positive	NO:sentiment_score
ATRA	"[""ATRA""]"	nGNX7PK3BT	2026-05-14 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Atara Biotherapeutics, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	4.86	NASDAQ	2026-05-14 12:00:00.317105	0.1282	0.3506	0.5213	-0.2224	negative	NO:sentiment_score
FCHL	"[""FCHL""]"	nGNX1LcVp2	2026-05-14 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	0.35	NASDAQ	2026-05-14 12:00:00.533346	0.144	0.192	0.664	-0.048	neutral	NO:sentiment_score
AMG	"[""AMG""]"	nGNEb8pKT6	2026-05-14 12:22:10	REG-AMG Critical Materials N.V. Announces Strategic Acquisition of Zinnwald Lithium Adding Optionality in Critical Materials in the Heart of Europe	Globe Newswire	25.59	EURONEXT AMSTERDAM	2026-05-14 12:22:10.185920	0.4908	0.0256	0.4835	0.4652	positive	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNE5VMm7r	2026-05-14 12:23:36	REG-Publication of Prospectus	Globe Newswire	2800.0	LSE	2026-05-14 12:23:36.187764	0.0662	0.0454	0.8885	0.0208	neutral	NO:sentiment_score,Float
MMA	"[""MMA""]"	nGNX9xTCPG	2026-05-14 12:42:55	Midnight Sun Invites Shareholders to Dumbwa Technical Webinar - May 19th 2026, at 9am Pacific	Globe Newswire	21.14		2026-05-14 12:42:55.171753	0.0481	0.0174	0.9346	0.0307	neutral	NO:sentiment_score
ICE	"[""ICE""]"	nNFC9Mn6w2	2026-05-14 12:47:59	Canlan Sports Reports Q1 Record Revenue and Continues Quarterly Dividend	Newsfile Corp	562.92	TSX	2026-05-14 12:47:59.543087	0.4561	0.0518	0.4922	0.4043	positive	NO:sentiment_score,Float
EGG	"[""EGG""]"	nGNX9qXVr5	2026-05-14 12:53:36	Hotwire Global and Lilypath Announce Strategic Partnership to Evolve Executive Visibility for the AI Era	Globe Newswire	8.26	ASX	2026-05-14 12:53:36.185160	0.6653	0.0113	0.3234	0.654	positive	NO:sentiment_score
GEMI	"[""GEMI""]"	nBw2b9ZCva	2026-05-14 13:57:00	Deadline Soon: Gemini Space Station, Inc. (GEMI) Shareholders Who Lost Money Urged To Contact The Law Offices of Frank R. Cruz About Securities Fraud Lawsuit	Business Wire	38.2	NASDAQ	2026-05-14 13:57:00.188063	0.1041	0.4023	0.4936	-0.2982	negative	NO:sentiment_score
AARD	"[""AARD""]"	nGNX9j8rLK	2026-05-14 14:20:25	Aardvark Therapeutics (AARD) Faces Investor Scrutiny Amid 56% Drop On Clinical Pause For Lead Drug Candidate– Hagens Berman	Globe Newswire	12.07	NASDAQ	2026-05-14 14:20:25.191829	0.0779	0.8844	0.0377	-0.8065	negative	NO:sentiment_score
MOBX	"[""MOBX""]"	nBw3bHH6Sa	2026-05-14 14:24:00	Mobix Labs Announces Amendment to Senior Secured Convertible Note and Entry into Investor Rights Agreement with Leviston Resources	Business Wire	8.55	NASDAQ	2026-05-14 14:24:00.210747	0.2747	0.0182	0.7071	0.2565	positive	NO:sentiment_score
AZ	"[""AZ""]"	nPn2t8x8qa	2026-05-14 15:00:00	A2Z Cust2Mate Secures Approval for $30 Million Non-Dilutive Financing to Scale Smart Cart Manufacturing & Deployment	PR Newswire	32.61	NASDAQ	2026-05-14 15:00:00.914959	0.8654	0.0125	0.1221	0.8528	positive	YES
WGRX	"[""WGRX""]"	nACSJLyxga	2026-05-14 15:05:00	Wellgistics Health Accelerates Digital Health Expansion of its Newly Announced RPM, RTM and CCM Pilot with Planned Acquisition of WellCare Today and its Proprietary Samsung Galaxy Watch Care Monitoring Program	ACCESSWIRE	49.67	NASDAQ	2026-05-14 15:05:00.725200	0.6293	0.0129	0.3578	0.6164	positive	NO:sentiment_score
PHR	"[""PHR""]"	nPn73Ywx0a	2026-05-14 15:48:00	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit	PR Newswire	46.13	NYSE	2026-05-14 15:48:00.390564	0.1267	0.0681	0.8052	0.0587	positive	NO:sentiment_score
ACET	"[""ACET""]"	nBw7ZLdC9a	2026-05-14 16:00:00	Adicet Bio to Participate in Fireside Chat at Jefferies Global Healthcare Conference	Business Wire	8.44	NASDAQ	2026-05-14 16:00:00.258881	0.1404	0.0234	0.8362	0.117	positive	NO:sentiment_score
HAS	"[""GLXZ"", ""HAS""]"	nGNXb90P0D	2026-05-14 16:00:00	MONOPOLY® Hits the Casino Floor as Galaxy Gaming® and Hasbro® Launch MONOPOLY Table Games Progressive at Pechanga Resort Casino	Globe Newswire	139.69	OTC	2026-05-14 16:00:00.387154	0.2558	0.0535	0.6908	0.2023	positive	NO:sentiment_score,Float
GLXZ	"[""GLXZ"", ""HAS""]"	nGNXb90P0D	2026-05-14 16:00:00	MONOPOLY® Hits the Casino Floor as Galaxy Gaming® and Hasbro® Launch MONOPOLY Table Games Progressive at Pechanga Resort Casino	Globe Newswire		OTC	2026-05-14 16:00:00.388695	0.2558	0.0535	0.6908	0.2023	positive	NO:sentiment_score,Float
CVV	"[""CVV""]"	nBw8MRWKMa	2026-05-14 16:00:00	CVD Equipment Corporation Reports First Quarter 2026 Results	Business Wire	5.35	NASDAQ	2026-05-14 16:00:00.407354	0.0414	0.0444	0.9142	-0.003	neutral	NO:sentiment_score
SCOR	"[""SCOR""]"	nGNX56Qdyr	2026-05-14 16:00:00	Comscore Reports First Quarter 2026 Results	Globe Newswire	11.21	NASDAQ	2026-05-14 16:00:00.482994	0.0321	0.0722	0.8958	-0.0401	neutral	NO:sentiment_score
ELSE	"[""ELSE""]"	nPn3Nk1Bwa	2026-05-14 16:00:00	Electro-Sensors, Inc. Announces First Quarter 2026 Financial Results	PR Newswire	1.63	NASDAQ	2026-05-14 16:00:00.776827	0.1269	0.1389	0.7342	-0.012	neutral	NO:sentiment_score
ELVA	"[""ELVA""]"	nACSm6LWGa	2026-05-14 16:00:43	Electrovaya Reports Fiscal Year Q2 2026 Results 	ACCESSWIRE	32.41	NASDAQ	2026-05-14 16:00:43.926202	0.0629	0.0502	0.8869	0.0127	neutral	NO:sentiment_score
UMAC	"[""UMAC""]"	nACSzlnv1a	2026-05-14 16:00:44	Unusual Machines First Quarter 2026 Shareholder Letter	ACCESSWIRE	34.16	NYSE AMERICAN	2026-05-14 16:00:44.352802	0.1015	0.0858	0.8127	0.0157	neutral	NO:sentiment_score
ELUT	"[""ELUT""]"	nGNX20KQPh	2026-05-14 16:01:00	Elutia to Present at the 16th Annual LD Micro Invitational on May 18th	Globe Newswire	33.56	NASDAQ	2026-05-14 16:01:00.219451	0.1289	0.0234	0.8476	0.1055	positive	NO:sentiment_score
NWTG	"[""NWTG""]"	nBw1P43rwa	2026-05-14 16:01:00	Newton Golf Reports Q1 2026 Results	Business Wire	3.32	NASDAQ	2026-05-14 16:01:00.253698	0.1031	0.0907	0.8062	0.0125	neutral	NO:sentiment_score
DARE	"[""DARE""]"	nGNX9tkHjR	2026-05-14 16:01:00	Daré Bioscience Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	13.35	NASDAQ	2026-05-14 16:01:00.379232	0.0856	0.037	0.8774	0.0486	neutral	NO:sentiment_score
CLPR	"[""CLPR""]"	nBw4SSrvSa	2026-05-14 16:01:00	Clipper Realty Inc. Announces First Quarter 2026 Results	Business Wire	13.24	NYSE	2026-05-14 16:01:00.488106	0.087	0.0954	0.8177	-0.0084	neutral	NO:sentiment_score
CODX	"[""CODX""]"	nPn60Kw8La	2026-05-14 16:01:00	Co-Diagnostics Reports First Quarter 2026 Financial Results	PR Newswire	3.29	NASDAQ	2026-05-14 16:01:00.517526	0.0728	0.0668	0.8603	0.006	neutral	NO:sentiment_score
NCNA	"[""NCNA""]"	nGNE81Njrt	2026-05-14 16:01:00	NuCana Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	3.87	NASDAQ	2026-05-14 16:01:00.629577	0.0598	0.0306	0.9096	0.0291	neutral	NO:sentiment_score
AIRJ	"[""AIRJ""]"	nGNX6stHkH	2026-05-14 16:01:01	AirJoule Technologies Announces First Quarter 2026 Results and Provides Business Update	Globe Newswire	29.17	NASDAQ	2026-05-14 16:01:01.155250	0.1251	0.0172	0.8577	0.108	positive	NO:sentiment_score
SGMO	"[""SGMO""]"	nGNX7HNnRD	2026-05-14 16:01:01	Sangamo Therapeutics Reports Recent Business Highlights and First Quarter 2026 Financial Results	Globe Newswire	410.04	OTC	2026-05-14 16:01:01.255525	0.1206	0.0677	0.8117	0.0529	positive	NO:sentiment_score,Float
AENT	"[""AENT""]"	nGNX1yr9dV	2026-05-14 16:01:01	Alliance Entertainment Reports Third Quarter Fiscal Year 2026 Results	Globe Newswire	3.06	NASDAQ	2026-05-14 16:01:01.486560	0.0583	0.0545	0.8873	0.0038	neutral	NO:sentiment_score
AARD	"[""AARD""]"	nGNXJdz8k	2026-05-14 16:01:01	Aardvark Therapeutics Plans to Unblind HERO and OLE Data to Inform Path Forward Following FDA Clinical Hold	Globe Newswire	12.07	NASDAQ	2026-05-14 16:01:01.880083	0.3101	0.0101	0.6797	0.3	positive	NO:sentiment_score
GGRP	"[""GGRP""]"	nACSXMGjba	2026-05-14 16:02:00	The Glimpse Group Becomes A Pureplay Physical AI Company and Announces Q3 Fiscal Year 2026 Financial Results	ACCESSWIRE	14.91	NASDAQ	2026-05-14 16:02:00.918678	0.0919	0.021	0.887	0.0709	positive	NO:sentiment_score
TRAK	"[""TRAK""]"	nBwlwccXa	2026-05-14 16:05:00	ReposiTrak Reports Third Quarter Fiscal 2026 Financial Results	Business Wire	12.14	NYSE	2026-05-14 16:05:00.481740	0.1303	0.1578	0.7119	-0.0275	neutral	NO:sentiment_score
BARK	"[""BARK""]"	nBw3Ftmnfa	2026-05-14 16:05:00	BARK to Announce Fiscal Fourth Quarter and Full Year 2026 Financial Results on June 9, 2025	Business Wire	4.78	NYSE	2026-05-14 16:05:00.501494	0.1021	0.0571	0.8408	0.045	neutral	NO:sentiment_score
AEON	"[""AEON""]"	nGNX97b5zc	2026-05-14 16:05:00	AEON Biopharma Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	8.73	NYSE AMERICAN	2026-05-14 16:05:00.754429	0.0606	0.032	0.9075	0.0286	neutral	NO:sentiment_score
GAMB	"[""GAMB"", ""6WH""]"	nBwTb6T6a	2026-05-14 16:05:00	Gambling.com Group Reports First Quarter Results	Business Wire	20.65	NASDAQ	2026-05-14 16:05:00.815174	0.0649	0.1016	0.8335	-0.0367	neutral	NO:sentiment_score
6WH	"[""GAMB"", ""6WH""]"	nBwTb6T6a	2026-05-14 16:05:00	Gambling.com Group Reports First Quarter Results	Business Wire		NASDAQ	2026-05-14 16:05:00.817086	0.0649	0.1016	0.8335	-0.0367	neutral	NO:sentiment_score,Float
INLX	"[""INLX""]"	nBw385K0Na	2026-05-14 16:05:00	Intellinetics Reports First Quarter Financial Results 	Business Wire	2.88	NYSE AMERICAN	2026-05-14 16:05:00.819306	0.2301	0.1239	0.646	0.1062	positive	NO:sentiment_score
LSF	"[""LSF""]"	nBw79YjGda	2026-05-14 16:05:01	Laird Superfood Reports First Quarter 2026 Financial Results	Business Wire	7.72	NYSE AMERICAN	2026-05-14 16:05:01.229948	0.1623	0.1305	0.7072	0.0318	neutral	NO:sentiment_score
MYO	"[""MYO""]"	nBwb2kRyQa	2026-05-14 16:05:01	Myomo Announces Participation in Upcoming Investor Conferences	Business Wire	35.41	NYSE AMERICAN	2026-05-14 16:05:01.232633	0.1957	0.0377	0.7666	0.158	positive	NO:sentiment_score
PIII	"[""PIII""]"	nBw79cq2ka	2026-05-14 16:05:01	P3 Health Partners Announces First Quarter 2026 Results	Business Wire	1.81	NASDAQ	2026-05-14 16:05:01.392496	0.0582	0.0874	0.8545	-0.0292	neutral	NO:sentiment_score
GNSS	"[""GNSS""]"	nBw3BJNPCa	2026-05-14 16:05:01	Genasys Inc. Reports Fiscal Second Quarter 2026 Results	Business Wire	35.34	NASDAQ	2026-05-14 16:05:01.409357	0.0346	0.048	0.9174	-0.0135	neutral	NO:sentiment_score
LTRN	"[""LTRN""]"	nBw5qF9Sa	2026-05-14 16:05:01	Lantern Pharma Inc. Announces Closing of up to $9.25 Million Registered Direct Offering with Existing Holders and a Single Institutional Investor	Business Wire	8.28	NASDAQ	2026-05-14 16:05:01.417858	0.1229	0.0199	0.8572	0.103	positive	NO:sentiment_score
LGCY	"[""LGCY""]"	nPn4R2LNGa	2026-05-14 16:05:01	Legacy Education Inc. Reports Third Quarter Fiscal 2026 Growth Across Revenue, Enrollment, and Earnings	PR Newswire	9.53	NYSE AMERICAN	2026-05-14 16:05:01.426345	0.9023	0.0203	0.0775	0.882	positive	YES
RCEL	"[""RCEL""]"	nGNX2VsHS4	2026-05-14 16:05:01	AVITA Medical Reports First Quarter 2026 Financial Results	Globe Newswire	24.4	NASDAQ	2026-05-14 16:05:01.434464	0.1372	0.1125	0.7503	0.0247	neutral	NO:sentiment_score
BLNE	"[""BLNE""]"	nGNEvSzYS	2026-05-14 16:05:01	Beeline Doubles Revenue Year-Over-Year in Q1 2026 While Significantly Narrowing Operating Loss	Globe Newswire	25.03	NASDAQ	2026-05-14 16:05:01.436477	0.8737	0.0756	0.0507	0.7981	positive	YES
INTZ	"[""INTZ""]"	nACSl5RKWa	2026-05-14 16:05:01	Intrusion Inc. Reports First Quarter 2026 Results	ACCESSWIRE	16.99	NASDAQ	2026-05-14 16:05:01.802105	0.0491	0.0531	0.8977	-0.004	neutral	NO:sentiment_score
WYY	"[""WYY""]"	nGNX5JymPd	2026-05-14 16:05:01	WidePoint Reports First Quarter 2026 Financial Results	Globe Newswire	8.17	NYSE AMERICAN	2026-05-14 16:05:01.806734	0.0904	0.0862	0.8233	0.0042	neutral	NO:sentiment_score
CV	"[""CV""]"	nGNXS9HdK	2026-05-14 16:05:01	CapsoVision Reports First Quarter 2026 Financial Results	Globe Newswire	27.48	NASDAQ	2026-05-14 16:05:01.825262	0.149	0.1124	0.7386	0.0367	neutral	NO:sentiment_score
DAIO	"[""DAIO""]"	nGNX6xTRQH	2026-05-14 16:05:01	Data I/O Announces Significant Direct Investment to Support The NEW Data I/O	Globe Newswire	8.93	NASDAQ	2026-05-14 16:05:01.835400	0.7885	0.0121	0.1994	0.7764	positive	YES
RDNW	"[""RDNW""]"	nPn3BYhQpa	2026-05-14 16:05:02	RideNow Group, Inc. Reports First Quarter 2026 Financial Results	PR Newswire	22.41	NASDAQ	2026-05-14 16:05:02.220026	0.0792	0.1153	0.8055	-0.036	neutral	NO:sentiment_score
CURI	"[""CURI""]"	nACS98F99a	2026-05-14 16:05:02	CuriosityStream Reports First Quarter 2026 Financial Results and Raises Dividend 	ACCESSWIRE	40.75	NASDAQ	2026-05-14 16:05:02.293282	0.1825	0.0274	0.79	0.1551	positive	NO:sentiment_score
DWSN	"[""DWSN""]"	nPn5gTdsna	2026-05-14 16:05:02	DAWSON GEOPHYSICAL REPORTS FIRST QUARTER 2026 RESULTS	PR Newswire	30.69	NASDAQ	2026-05-14 16:05:02.304569	0.0459	0.0506	0.9035	-0.0047	neutral	NO:sentiment_score
HHS	"[""HHS""]"	nACSyQplJa	2026-05-14 16:05:02	Harte Hanks Reports First Quarter 2026 Results	ACCESSWIRE	5.9	NASDAQ	2026-05-14 16:05:02.314189	0.0462	0.0529	0.901	-0.0067	neutral	NO:sentiment_score
AQMS	"[""AQMS""]"	nGNX3MDsZk	2026-05-14 16:05:02	Aqua Metals Reports First Quarter 2026 Progress on Commercialization, Strategic Initiatives, and Expanded Platform Capabilities Across Critical Minerals and Energy Storage Markets	Globe Newswire	2.64	NASDAQ	2026-05-14 16:05:02.656850	0.8735	0.0112	0.1154	0.8623	positive	YES
CBUS	"[""CBUS""]"	nGNXc7f3y6	2026-05-14 16:05:02	Cibus Reports First Quarter Financial Results and Provides Business Update	Globe Newswire	47.19	NASDAQ	2026-05-14 16:05:02.665242	0.0624	0.0329	0.9047	0.0296	neutral	NO:sentiment_score
MTVA	"[""MTVA""]"	nPnbrmSBRa	2026-05-14 16:05:02	MetaVia Reports First Quarter 2026 Financial Results and Provides Corporate Update	PR Newswire	3.29	NASDAQ	2026-05-14 16:05:02.677677	0.0588	0.0432	0.898	0.0157	neutral	NO:sentiment_score
SHIM	"[""SHIM""]"	nGNX8XjYk4	2026-05-14 16:05:02	Shimmick Corporation Announces First Quarter 2026 Results	Globe Newswire	5.27	NASDAQ	2026-05-14 16:05:02.941953	0.0514	0.0795	0.8691	-0.0282	neutral	NO:sentiment_score
RMCF	"[""RMCF""]"	nGNX4R4tRW	2026-05-14 16:05:02	Rocky Mountain Chocolate Factory Reports Preliminary Fourth Quarter and Fiscal Year 2026 Financial Results	Globe Newswire	5.6	NASDAQ	2026-05-14 16:05:02.947942	0.1315	0.0908	0.7778	0.0407	neutral	NO:sentiment_score
PXLW	"[""PXLW""]"	nPn9fkhqCa	2026-05-14 16:05:02	Pixelworks Reports First Quarter 2026 Financial Results	PR Newswire	5.88	NASDAQ	2026-05-14 16:05:02.949062	0.091	0.0972	0.8118	-0.0062	neutral	NO:sentiment_score
RNXT	"[""RNXT""]"	nGNX9SSfhJ	2026-05-14 16:05:02	RenovoRx Reports Record First Quarter 2026: Increasing Revenue by 136% Quarter-over-Quarter	Globe Newswire	43.15	NASDAQ	2026-05-14 16:05:02.958762	0.9442	0.0183	0.0376	0.9259	positive	YES
ICCC	"[""ICCC""]"	nGNX4R5dMB	2026-05-14 16:05:02	ImmuCell Announces Unaudited Financial Results for the Quarter Ended March 31, 2026	Globe Newswire	5.65	NASDAQ	2026-05-14 16:05:02.973567	0.0798	0.091	0.8291	-0.0112	neutral	NO:sentiment_score
EGAN	"[""EGAN""]"	nGNX8vWK63	2026-05-14 16:05:03	eGain Reports Third Quarter 2026 Results Highlighting Accelerating AI Knowledge Demand and Improved Profitability	Globe Newswire	17.65	NASDAQ	2026-05-14 16:05:03.401604	0.9476	0.0159	0.0365	0.9318	positive	YES
OTH	"[""OTH""]"	nGNX1CBtw3	2026-05-14 16:05:03	Oﬀ The Hook YS Inc. Reports First Quarter 2026 Financial and Operating Results	Globe Newswire	3.45	NYSE AMERICAN	2026-05-14 16:05:03.561889	0.2112	0.1037	0.6851	0.1076	positive	NO:sentiment_score
RSSS	"[""RSSS""]"	nPn3LX8qMa	2026-05-14 16:05:03	Research Solutions Reports Third Quarter Fiscal Year 2026 Results	PR Newswire	27.24	NASDAQ	2026-05-14 16:05:03.618216	0.0483	0.0408	0.9109	0.0076	neutral	NO:sentiment_score
SRXH	"[""SRXH""]"	nGNX8MPkKx	2026-05-14 16:05:03	SRx Health Solutions Announces Fiscal Second Quarter 2026 Results for Quarter Ended March 31, 2026	Globe Newswire	273.77	NYSE AMERICAN	2026-05-14 16:05:03.687419	0.1105	0.1392	0.7503	-0.0287	neutral	NO:sentiment_score,Float
AUID	"[""AUID""]"	nGNX4S970	2026-05-14 16:05:03	authID Reports Financial and Operating Results for the First Quarter 2026	Globe Newswire	14.18	NASDAQ	2026-05-14 16:05:03.876089	0.089	0.0542	0.8568	0.0348	neutral	NO:sentiment_score
