Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
H	"[""H""]"	nPnc7GvPza	2026-05-07 08:30:04	Hydro One highlights safety performance, Indigenous procurement and partnerships in its 2025 Sustainability Report	PR Newswire	38.45	0.4905	0.0138	0.4957	0.4767	positive		YES	TSX			2026-05-07 08:30:04				0.5223	0.5522	0.2838	0.782	0.3604	0.6477
WAVE	"[""WAVE"", ""1KW0Y""]"	nNFC6tGB	2026-05-07 08:30:18	Eco Wave Power Reports Q1 2026 Results and Advances Positioning in AI-Driven Energy Infrastructure	Newsfile Corp	5.61	0.8021	0.0091	0.1888	0.793	positive		YES	NASDAQ	8.57	5.41	2026-05-07 08:30:18				0.5027	0.5369	0.3207	0.5027	0.6975	0.6042
1KW0Y	"[""WAVE"", ""1KW0Y""]"	nNFC6tGB	2026-05-07 08:30:18	Eco Wave Power Reports Q1 2026 Results and Advances Positioning in AI-Driven Energy Infrastructure	Newsfile Corp		0.8021	0.0091	0.1888	0.793	positive		NO:Float	NASDAQ			2026-05-07 08:30:18				0.6292	0.486	0.2415	0.2415	0.1214	0.6292
LASE	"[""LASE""]"	nACSLZ7Sja	2026-05-07 08:30:49	Laser Photonics and Fonon Technologies Demonstrate Successful Validation of DefenseTech Laser Cleaning Products in Defense MRO	ACCESSWIRE	19.83	0.858	0.0115	0.1305	0.8465	positive		YES	NASDAQ	0.79	3.95	2026-05-07 08:30:49				0.5347	0.495	0.2095	0.5347	0.3079	0.6206
BEAT	"[""BEAT""]"	nBw7S5Z1ha	2026-05-07 08:31:00	HeartBeam Expands Commercial Presence Across Four Key U.S. Markets with Addition of Premier Concierge Practice	Business Wire	47.15	0.5851	0.0133	0.4016	0.5718	positive		YES	NASDAQ	0.93	6.9	2026-05-07 08:31:00				0.5484	0.6595	0.5166	0.8095	0.6388	0.6689
LAKE	"[""LAKE""]"	nGNX4n7YVL	2026-05-07 08:31:00	Lakeland Fire + Safety’s LHD Germany Completes Key Operational and Leadership Initiatives	Globe Newswire	8.44	0.7118	0.0192	0.269	0.6926	positive		YES	NASDAQ	11.14	15.68	2026-05-07 08:31:00				0.5103	0.5801	0.3253	0.8475	0.4455	0.6559
DUOT	"[""DUOT""]"	nGNX38qjcx	2026-05-07 08:35:00	Duos Edge AI to Host Victoria Edge Data Center Open House	Globe Newswire	26.04	0.2375	0.0274	0.7351	0.2101	positive		YES	NASDAQ	9.28	2.54	2026-05-07 08:35:00				0.0	0.0451	0.0417	0.0417	0.0621	0.0
WKSP	"[""WKSP""]"	nACSR2nCwa	2026-05-07 08:35:00	Worksport (NASDAQ: WKSP) Announces Q1 2026 Earnings Call Date and Launch of Investor Townhall Series	ACCESSWIRE	9.27	0.1199	0.0151	0.865	0.1048	positive		YES	NASDAQ	1.18	6.31	2026-05-07 08:35:00				0.4634	0.5013	0.2621	0.7741	0.2146	0.5858
INTR	"[""INTR""]"	nGNX2T4nkd	2026-05-07 08:37:01	Inter&Co Delivers Record First Quarter, Surpassing 44 Million Clients and R$50 Billion (US$9.5B) in Credit as AI-Powered Super App Strategy Accelerates	Globe Newswire	240.42	0.8591	0.0278	0.113	0.8313	positive		YES	NASDAQ	8.1	2.79	2026-05-07 08:37:01				0.1217	0.1217	0.1217	0.1217	0.1217	0.1217
SKYX	"[""SKYX""]"	nGNX7rxVmy	2026-05-07 08:37:34	SKYX Announces Corporate Update Call	Globe Newswire	88.45	0.1217	0.1268	0.7515	-0.0052	neutral		NO:sentiment_score	NASDAQ	1.53	13.33	2026-05-07 08:37:34				0.0	0.0122	0.0123	0.0108	0.0114	0.0
VITL	"[""VITL""]"	nNFC6WcgQB	2026-05-07 08:41:15	VITL DEADLINE REMINDER: Berger Montague Reminds Vital Farms, Inc. (VITL) Investors of Important Class Action Lawsuit Deadline	Newsfile Corp	36.68	0.3941	0.2765	0.3294	0.1175	positive		YES	NASDAQ	12.6	2.86	2026-05-07 08:41:15				-0.1596	-0.2273	-0.0668	0.2132	-0.0729	-0.2795
CNDT	"[""CNDT""]"	nBw4z1D5ya	2026-05-07 08:43:00	Conduent Identifies Over $18 Million In Finance and Procurement Savings Using GenAI-Powered FastCap	Business Wire	139.01	0.5345	0.0103	0.4553	0.5242	positive		YES	NASDAQ	1.84	5.14	2026-05-07 08:43:00				0.623	0.6171	0.4378	0.7685	0.5235	0.653
PMEC	"[""PMEC""]"	nGNX6zQKb7	2026-05-07 08:45:00	Primech Holdings Secures Approximately US$24.8 Million Four-Year Contract at a Major Asian Aviation Hub, Adding Significant Recurring Revenue Visibility	Globe Newswire	5.53	0.9032	0.018	0.0788	0.8852	positive		YES	NASDAQ	0.85	28.79	2026-05-07 08:45:00				0.5235	0.6424	0.5235	0.7399	0.6576	0.6424
CETY	"[""CETY""]"	nGNX9LmSnN	2026-05-07 08:45:00	Vermont Renewable Gas Reaches Agreement with State Agriculture Agency for Lyndon Renewable Energy Project	Globe Newswire	8.04	0.5972	0.0235	0.3793	0.5737	positive		YES	NASDAQ	1.06	10.42	2026-05-07 08:45:00				0.44	0.4783	0.3333	0.44	0.4686	0.5175
ANY	"[""ANY""]"	nACSQg7tda	2026-05-07 08:45:00	Sphere 3D and Cathedra Advance Proposed Combination to Establish Power-Optimized Digital Infrastructure Platform	ACCESSWIRE	3.65	0.5337	0.0085	0.4578	0.5252	positive		YES	NASDAQ	2.12	14.59	2026-05-07 08:45:00				0.1476	0.0601	0.0443	0.0584	-0.0028	0.1476
EUR	"[""CRML"", ""EUR""]"	nGNX94GMp6	2026-05-07 08:47:52	CRML Announces Extension of Exclusivity Period to Finalise Scheme Documentation	Globe Newswire		0.0982	0.0514	0.8503	0.0468	neutral		NO:sentiment_score,Float	NASDAQ			2026-05-07 08:47:52				0.3715	0.4512	0.2821	0.5712	0.3107	0.494
CRML	"[""CRML"", ""EUR""]"	nGNX94GMp6	2026-05-07 08:47:52	CRML Announces Extension of Exclusivity Period to Finalise Scheme Documentation	Globe Newswire	60.49	0.0982	0.0514	0.8503	0.0468	neutral		NO:sentiment_score	NASDAQ	14.16	2.24	2026-05-07 08:47:52				0.3715	0.4512	0.2821	0.5712	0.3107	0.494
YMT	"[""YMT""]"	nGNX1lcRsj	2026-05-07 08:54:12	Yimutian Launches Wolaicai Sales Assistant, an Agricultural AI Agent for Produce Trading, expecting AI initiatives to contribute over US$10 million in full-year revenue growth	Globe Newswire	103.61	0.7284	0.0094	0.2622	0.719	positive		YES	NASDAQ	2.4	11.11	2026-05-07 08:54:12				0.4059	0.4364	0.4059	0.7551	0.5326	0.4364
BW	"[""BW""]"	nPnbsFrDca	2026-05-07 09:00:00	BW Lawsuit Alleges Company Allegedly Misled Institutional Shareholders - Babcock & Wilcox Enterprises Investors Face Losses Following Company Allegedly Misled Institutional Shareholders: SueWallSt	PR Newswire	130.21	0.0861	0.5945	0.3194	-0.5083	negative		NO:sentiment_score	NYSE	16.0	1.98	2026-05-07 09:00:00				0.0147	0.0043	0.0141	0.6217	-0.0308	0.0018
Z2G	"[""NTSK"", ""Z2G""]"	nGNX660d7W	2026-05-07 09:00:00	Netskope to Report Fiscal First Quarter 2027 Financial Results on June 3, 2026	Globe Newswire		0.0799	0.0358	0.8843	0.0441	neutral		NO:sentiment_score,Float	NASDAQ			2026-05-07 09:00:00									
NTSK	"[""NTSK"", ""Z2G""]"	nGNX660d7W	2026-05-07 09:00:00	Netskope to Report Fiscal First Quarter 2027 Financial Results on June 3, 2026	Globe Newswire	200.9	0.0799	0.0358	0.8843	0.0441	neutral		NO:sentiment_score	NASDAQ	11.59	8.52	2026-05-07 09:00:00				0.1957	0.2503	0.1575	0.1957	0.1399	0.2795
SGA	"[""SGA""]"	nGNX9dpC52	2026-05-07 09:00:01	Saga Communications, Inc. Declares a Quarterly Cash Dividend of $0.25 per Share	Globe Newswire	4.5	0.0883	0.1492	0.7624	-0.0609	negative		NO:sentiment_score	NASDAQ	11.2	0.27	2026-05-07 09:00:01									
CXDO	"[""CXDO""]"	nACSm03Fba	2026-05-07 09:00:01	Crexendo Announces Participation in Upcoming Investor Conferences	ACCESSWIRE	17.42	0.1338	0.0259	0.8403	0.1079	positive		YES	NASDAQ	9.98	2.99	2026-05-07 09:00:01				0.4411	0.3339	0.1387	0.4411	0.1717	0.4991
FJET	"[""FJET""]"	nBwqbVVDa	2026-05-07 09:00:01	Starfighters Space Adds Blue Origin Leaders to Accelerate STARLAUNCH Development	Business Wire	29.29	0.2587	0.0114	0.7299	0.2472	positive		YES	NYSE American	5.56	7.96	2026-05-07 09:00:01				0.4311	0.5347	0.3711	0.5873	0.2823	0.5628
IMSR	"[""IMSR""]"	nBwMHD9xa	2026-05-07 09:00:02	Terrestrial Energy Appoints Tyler Gronbach as Vice President of Investor Relations and Public Relations	Business Wire	65.63	0.06	0.0292	0.9108	0.0308	neutral		NO:sentiment_score	NASDAQ	8.96	4.31	2026-05-07 09:00:02				0.2754	0.338	0.199	0.199	0.2163	0.3904
ALDX	"[""ALDX""]"	nPn5rqNvCa	2026-05-07 09:00:02	ALDX Investor Alert: Aldeyra Therapeutics Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After Company Allegedly Misrepresented Clinical Trial Results: SueWallSt	PR Newswire	55.6	0.0732	0.4545	0.4723	-0.3813	negative		NO:sentiment_score	NASDAQ	1.79	4.07	2026-05-07 09:00:02				-0.1324	-0.2213	-0.0748	0.5702	-0.076	-0.2537
STEX	"[""STEX""]"	nGNX3bV61s	2026-05-07 09:00:02	Streamex Corp. to Present at the 21st Annual Needham Technology, Media, & Consumer Conference	Globe Newswire	69.97	0.139	0.015	0.8461	0.124	positive		YES	NASDAQ	1.08	8.0	2026-05-07 09:00:02				0.1754	0.1487	0.0882	0.3011	0.138	0.1985
DV	"[""DV""]"	nGNX5Plk7l	2026-05-07 09:00:02	Global Study: Fueled by AI, CTV Fraud Schemes Surge 140% Globally	Globe Newswire	138.09	0.8068	0.0631	0.1301	0.7438	positive		YES	NYSE	11.51	5.31	2026-05-07 09:00:02				0.3266	0.3609	0.3266	0.3266	0.2517	0.3609
QIA	"[""QGEN"", ""QIA""]"	nGNXbFnZNY	2026-05-07 09:00:03	QGEN SHAREHOLDER INVESTIGATION: Levi & Korsinsky Investigates Qiagen for Possible Securities Law Violations	Globe Newswire		0.0849	0.2418	0.6733	-0.1569	negative		NO:sentiment_score,Float	NASDAQ			2026-05-07 09:00:03									
QGEN	"[""QGEN"", ""QIA""]"	nGNXbFnZNY	2026-05-07 09:00:03	QGEN SHAREHOLDER INVESTIGATION: Levi & Korsinsky Investigates Qiagen for Possible Securities Law Violations	Globe Newswire	204.94	0.0849	0.2418	0.6733	-0.1569	negative		NO:sentiment_score	NASDAQ	33.97	1.92	2026-05-07 09:00:03				0.0	0.0118	0.0118	0.0118	0.0118	0.0
GOSS	"[""GOSS""]"	nPnbh7LtZa	2026-05-07 09:00:03	GOSS Investor Alert: Gossamer Bio Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After CEO Allegedly Concealed PROSERA Placebo Risk: SueWallSt	PR Newswire	204.1	0.1361	0.3059	0.558	-0.1698	negative		NO:sentiment_score	NASDAQ	0.36	2.86	2026-05-07 09:00:03				-0.0319	-0.0967	-0.011	0.2237	-0.0678	-0.1346
APT	"[""APT""]"	nGNX3b2VWf	2026-05-07 09:00:03	Alpha Pro Tech, Ltd. Announces First Quarter 2026 Financial Results	Globe Newswire	8.48	0.1218	0.1651	0.7131	-0.0433	neutral		NO:sentiment_score	NYSE American	6.55	29.19	2026-05-07 09:00:03									
HPP	"[""HPP""]"	nBw2kyZ5xa	2026-05-07 09:00:03	Hudson Pacific Properties Reports First Quarter 2026 Financial Results	Business Wire	53.44	0.1319	0.1047	0.7634	0.0271	neutral		NO:sentiment_score	NYSE	12.11	13.82	2026-05-07 09:00:03				0.8674	0.8674	0.8674	0.8674	0.8674	0.8674
CHOW	"[""CHOW""]"	nPn8KmcpLa	2026-05-07 09:00:08	CHOW Investor Alert: ChowChow Cloud International Holdings Limited Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After Defendants Allegedly Fueled Fraudulent Buying Frenzy: SueWallSt	PR Newswire	10.64	0.0942	0.2387	0.6671	-0.1445	negative		NO:sentiment_score	NYSE American	0.44	2.33	2026-05-07 09:00:08				-0.0813	-0.1706	-0.0539	0.6323	-0.0507	-0.1852
GO	"[""GO""]"	nPn3H6QQ8a	2026-05-07 09:00:11	GO Lawsuit Alleges Misrepresentations Regarding Unsustainable Retail Store Expansion - Grocery Outlet Holding Corp. Investors Face Losses Amid the Recognition of $110 Million in Impairment Charges: SueWallSt	PR Newswire	90.72	0.1352	0.4978	0.367	-0.3626	negative		NO:sentiment_score	NASDAQ	8.25	4.56	2026-05-07 09:00:11				-0.2143	-0.2656	-0.1316	0.3496	-0.1882	-0.2878
CWH	"[""CWH""]"	nPnDZt8xa	2026-05-07 09:00:13	CWH Investor Alert: Camping World Holdings, Inc. Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After Management Allegedly Inflated Operational Capabilities: SueWallSt	PR Newswire	58.96	0.0729	0.6597	0.2674	-0.5868	negative		NO:sentiment_score	NYSE	8.03	2.55	2026-05-07 09:00:13				-0.0291	-0.0875	-0.003	0.3697	-0.0676	-0.1168
FSK	"[""FSK""]"	nPn6r0HPQa	2026-05-07 09:00:14	SueWallSt Reminds Shareholders of a Lead Plaintiff Deadline of July 6, 2026 in FS KKR CAPITAL CORP. Lawsuit - FSK	PR Newswire	279.32	0.0855	0.1063	0.8082	-0.0208	neutral		NO:sentiment_score	NYSE	11.42	0.18	2026-05-07 09:00:14				-0.2007	-0.3416	-0.123	0.2875	-0.1834	-0.3812
NUAI	"[""NUAI""]"	nPn1Vlb5Ya	2026-05-07 09:00:18	NUAI Lawsuit Alleges Company Allegedly Concealed Material Risks - New Era Energy & Digital Investors Face Losses Following Company Allegedly Concealed Material Risks: SueWallSt	PR Newswire	73.85	0.0783	0.3817	0.54	-0.3034	negative		NO:sentiment_score	NASDAQ	5.31	10.4	2026-05-07 09:00:18				-0.0039	-0.0376	0.0036	0.6536	-0.0181	-0.0479
KD	"[""KD""]"	nPnbFNZtza	2026-05-07 09:00:19	Kyndryl and Arizona MVD Extend Partnership to Advance Next-Gen Services	PR Newswire	220.5	0.8197	0.0091	0.1711	0.8106	positive		YES	NYSE	13.8	5.26	2026-05-07 09:00:19				0.5021	0.5941	0.5021	0.5021	0.6409	0.5941
50S	"[""SPCB"", ""50S""]"	nPnc8b7mka	2026-05-07 09:00:21	SuperCom Wins 4 New Electronic Monitoring Contracts in New York, Displacing 3 Incumbent Vendors	PR Newswire		0.7551	0.0934	0.1515	0.6617	positive		NO:Float	NASDAQ			2026-05-07 09:00:21									
SPCB	"[""SPCB"", ""50S""]"	nPnc8b7mka	2026-05-07 09:00:21	SuperCom Wins 4 New Electronic Monitoring Contracts in New York, Displacing 3 Incumbent Vendors	PR Newswire	3.79	0.7551	0.0934	0.1515	0.6617	positive		YES	NASDAQ	11.48	9.02	2026-05-07 09:00:21				0.548	0.6919	0.4421	0.9013	0.6086	0.7148
GEMI	"[""GEMI""]"	nPn1Nhx9Qa	2026-05-07 09:00:21	GEMI Lawsuit Alleges Company Allegedly Broke Growth Promises - Gemini Space Station Investors Face Losses Following Company Allegedly Broke Growth Promises: SueWallSt	PR Newswire	38.2	0.1118	0.5382	0.3499	-0.4264	negative		NO:sentiment_score	NASDAQ	5.08	0.79	2026-05-07 09:00:21				0.065	0.0357	0.0515	0.6755	-0.0163	0.0366
EQX	"[""EQX"", ""GR""]"	nNFCbrr1Nr	2026-05-07 09:00:25	Great Atlantic Commences 2026 Field Program to Advance High Priority Targets at Golden Promise	Newsfile Corp	778.09	0.4332	0.0195	0.5473	0.4138	positive		NO:Float	NYSE	15.29	6.77	2026-05-07 09:00:25				0.1936	0.2388	0.1458	0.2437	0.3316	0.2699
GR	"[""EQX"", ""GR""]"	nNFCbrr1Nr	2026-05-07 09:00:25	Great Atlantic Commences 2026 Field Program to Advance High Priority Targets at Golden Promise	Newsfile Corp		0.4332	0.0195	0.5473	0.4138	positive		NO:Float	NYSE			2026-05-07 09:00:25				0.2124	0.2581	0.1504	0.2412	0.3397	0.2983
LTRN	"[""LTRN""]"	nBw1ynzgsa	2026-05-07 09:01:00	Lantern Pharma Unveils Roadmap for withZeta.ai — Industry-First, Multi-Agentic Co-Scientist Featuring Swarm Intelligence and Computational Biology Toolkit with the Launch of ZetaSwarm™ and ZetaOmics™	Business Wire	8.28	0.2963	0.0084	0.6953	0.288	positive		YES	NASDAQ	2.22	7.25	2026-05-07 09:01:00				0.4069	0.4934	0.3546	0.593	0.4187	0.5058
RAVE	"[""RAVE""]"	nGNX8vmwTM	2026-05-07 09:01:00	RAVE Restaurant Group, Inc. Reports Third Quarter 2026 Results	Globe Newswire	9.31	0.0873	0.0899	0.8228	-0.0027	neutral		NO:sentiment_score	NASDAQ	3.06	14.61	2026-05-07 09:01:00				-0.071	-0.071	-0.071	-0.071	-0.071	-0.071
POET	"[""POET""]"	nGNX73RgpP	2026-05-07 09:03:00	POET TECHNOLOGIES INC. (POET) SHAREHOLDER ALERT Bernstein Liebhard LLP Reminds POET Technologies Inc. Investors of Upcoming Deadline	Globe Newswire	90.52	0.2054	0.1828	0.6118	0.0225	neutral		NO:sentiment_score	NASDAQ	10.3	6.51	2026-05-07 09:03:00				0.0323	0.0338	0.0277	0.1195	0.0077	0.0356
IMM	"[""IMMP"", ""IMM""]"	nGNX7Jf1Rh	2026-05-07 09:03:00	IMMUTEP LIMITED (IMMP) INVESTOR ALERT Investors With Large Losses in Immutep Limited Should Contact Bernstein Liebhard LLP To Discuss Their Rights	Globe Newswire		0.2787	0.0394	0.6819	0.2393	positive		NO:Float	NASDAQ			2026-05-07 09:03:00				-0.0286	-0.0546	0.0014	0.3145	0.0004	-0.0792
IMMP	"[""IMMP"", ""IMM""]"	nGNX7Jf1Rh	2026-05-07 09:03:00	IMMUTEP LIMITED (IMMP) INVESTOR ALERT Investors With Large Losses in Immutep Limited Should Contact Bernstein Liebhard LLP To Discuss Their Rights	Globe Newswire	146.13	0.2787	0.0394	0.6819	0.2393	positive		YES	NASDAQ	0.47	6.82	2026-05-07 09:03:00				-0.0286	-0.0546	0.0014	0.3145	0.0004	-0.0792
SST	"[""SST""]"	nBw19Hbr3a	2026-05-07 09:04:00	MapQuest and iHeartRadio Launch First-Ever Audio Integration on MapQuest.com	Business Wire	4.14	0.1593	0.0125	0.8282	0.1468	positive		YES	NYSE	4.57	6.78	2026-05-07 09:04:00									
EXOZ	"[""EXOZ""]"	nACSzJZhka	2026-05-07 09:05:00	eXoZymes Announces Graduation from Shell GameChanger(TM) Accelerator Powered by NLR (GCxN) Program	ACCESSWIRE	2.11	0.2241	0.0183	0.7575	0.2058	positive		YES	NASDAQ	10.54	0.0	2026-05-07 09:05:00				0.3827	0.3039	0.1591	0.2665	0.0823	0.4091
ALC	"[""ALC""]"	nBw8607Ywa	2026-05-07 09:08:00	Algoma Central Corporation Reports Financial Results for the 2026 First Quarter	Business Wire	481.81	0.1812	0.1777	0.6411	0.0035	neutral		NO:sentiment_score,Float	TSX			2026-05-07 09:08:00				0.879	0.879	0.879	0.879	0.879	0.879
MTEK	"[""MTEK""]"	nGNE7LRVMl	2026-05-07 09:10:00	Maris-Tech Receives First Serial Production Order from Singapore Defense Customer	Globe Newswire	5.82	0.702	0.0132	0.2847	0.6888	positive		YES	NASDAQ	1.3	8.33	2026-05-07 09:10:00									
ADSE	"[""ADSE""]"	nBw2TXnwPa	2026-05-07 09:11:00	More Charging Power Than the Grid Connection Can Provide: Battery-Buffered Microgrid Unlocks New Potential for Fast Charging	Business Wire	31.49	0.4964	0.0129	0.4907	0.4834	positive		YES	NASDAQ	11.45	0.0	2026-05-07 09:11:00									
ACVA	"[""ACVA""]"	nBw44BTyYa	2026-05-07 09:15:00	ACV Unveils All-in-One Inventory Intelligence Suite for Dealers	Business Wire	163.01	0.1407	0.0123	0.847	0.1284	positive		YES	NYSE	6.7	22.26	2026-05-07 09:15:00				0.3861	0.2823	0.1376	0.1376	0.3523	0.3861
VTIX	"[""VTIX""]"	nGNXbjm0jN	2026-05-07 09:15:00	Virtuix Forms Special Committee to Pursue Strategic Acquisitions in Defense Training Market	Globe Newswire	14.68	0.1389	0.01	0.8511	0.129	positive		YES	NASDAQ	4.47	23.14	2026-05-07 09:15:00				0.164	0.1432	0.1179	0.1179	0.1754	0.1682
ACCS	"[""ACCS""]"	nACShs6mDa	2026-05-07 09:15:00	ACCESS Newswire Launches ACCESS Insights & Analytics, AI-Powered Press Release Scoring Platform	ACCESSWIRE	3.15	0.0995	0.0129	0.8876	0.0867	positive		YES	NYSE American	8.55	3.51	2026-05-07 09:15:00				0.4635	0.4693	0.2342	0.6953	0.1853	0.5639
LONA	"[""LONA""]"	nGNX76YKgW	2026-05-07 09:20:00	LeonaBio Enhances Board of Directors with Appointments of Fred Callori, J.D., Natalie Holles and Peter B. Silverman, J.D.	Globe Newswire	7.22	0.1937	0.0158	0.7905	0.1779	positive		YES	NASDAQ	9.92	5.31	2026-05-07 09:20:00				0.2529	0.2589	0.1037	0.6967	0.1839	0.3797
MTWO	"[""MTWO"", ""SOAR""]"	nBw38Y0vTa	2026-05-07 09:20:00	Volato Group Shareholders Approve Merger with M2i Global	Business Wire		0.2564	0.0248	0.7188	0.2316	positive		NO:Float	OTC			2026-05-07 09:20:00				0.3559	0.4886	0.3559	0.3559	0.3925	0.4886
SOAR	"[""MTWO"", ""SOAR""]"	nBw38Y0vTa	2026-05-07 09:20:00	Volato Group Shareholders Approve Merger with M2i Global	Business Wire	15.61	0.2564	0.0248	0.7188	0.2316	positive		YES	OTC			2026-05-07 09:20:00				0.1961	0.1978	0.1961	0.1961	0.1794	0.1978
UDMY	"[""UDMY""]"	nBw3c8n1Ya	2026-05-07 09:25:00	Udemy Expands AI Role Play Capabilities to Advance Immersive, Skills-Based Learning 	Business Wire	95.87	0.4517	0.0088	0.5394	0.4429	positive		YES	NASDAQ			2026-05-07 09:25:00				0.4176	0.4882	0.4176	0.4176	0.5485	0.4882
LEXX	"[""LEXX""]"	nACSQJscCa	2026-05-07 09:25:00	Lexaria Bioscience Releases Second Episode of Investor Video Series	ACCESSWIRE	24.06	0.1181	0.0767	0.8053	0.0414	neutral		NO:sentiment_score	NASDAQ	0.69	1.47	2026-05-07 09:25:00				0.238	0.1522	0.0918	0.1726	0.137	0.2457
FSK	"[""FSK""]"	nGNX85Wdf2	2026-05-07 09:28:41	Portnoy Law Firm Announces Class Action on Behalf of FS KKR Capital Corp. Investors	Globe Newswire	279.32	0.1422	0.2229	0.6349	-0.0807	negative		NO:sentiment_score	NYSE	11.42	0.18	2026-05-07 09:28:41				-0.2586	-0.3347	-0.1993	0.7424	-0.2053	-0.3508
LWLG	"[""LWLG""]"	nACSK7TFGa	2026-05-07 09:30:43	Lightwave Logic Announces Availability of Version 1.1 of Its Polymer Photonics PDK, Advancing Process Integration and Foundry Transfer	ACCESSWIRE	146.49	0.3744	0.0099	0.6158	0.3645	positive		YES	NASDAQ	15.65	2.96	2026-05-07 09:30:43				0.5051	0.5588	0.2833	0.7634	0.2305	0.6396
PAYP	"[""PAYP""]"	nGNE8WDcB9	2026-05-07 09:34:24	REG-Resolution of claim by Global 365 Limited – Competition Appeal Tribunal Judgment	Globe Newswire	241.1804	0.2372	0.1749	0.5879	0.0623	positive		YES	LSE			2026-05-07 09:34:24									
IMMP	"[""IMMP"", ""IMM""]"	nGNX9r7C4w	2026-05-07 09:39:39	Portnoy Law Firm Announces Class Action on Behalf of Immutep Limited Investors	Globe Newswire	146.13	0.157	0.378	0.465	-0.221	negative		NO:sentiment_score	NASDAQ	0.47	6.82	2026-05-07 09:39:39				0.0179	-0.0064	0.013	0.2782	0.023	-0.0073
IMM	"[""IMMP"", ""IMM""]"	nGNX9r7C4w	2026-05-07 09:39:39	Portnoy Law Firm Announces Class Action on Behalf of Immutep Limited Investors	Globe Newswire		0.157	0.378	0.465	-0.221	negative		NO:sentiment_score,Float	NASDAQ			2026-05-07 09:39:39				0.0179	-0.0064	0.013	0.2782	0.023	-0.0073
DRVN	"[""DRVN""]"	nGNX7kJH6N	2026-05-07 09:49:34	DRVN Investors Have Opportunity to Lead Driven Brands Holdings Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	58.87	0.2317	0.044	0.7243	0.1877	positive		YES	NASDAQ	13.85	3.75	2026-05-07 09:49:34				-0.3729	-0.5122	-0.2386	-0.0832	-0.1884	-0.5761
PICS	"[""PICS""]"	nPn5XYjCPa	2026-05-07 10:00:00	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of PicS N.V. - PICS	PR Newswire	22.23	0.106	0.1098	0.7842	-0.0037	neutral		NO:sentiment_score	NASDAQ	14.15	10.37	2026-05-07 10:00:00				0.0555	0.0017	0.0363	0.3728	0.042	-0.0037
ATRA	"[""ATRA""]"	nPn64JbLFa	2026-05-07 10:00:00	Pomerantz Law Firm Announces the Filing of a Class Action Against Atara Biotherapeutics, Inc. and Certain Officers - ATRA	PR Newswire	4.86	0.1305	0.1982	0.6712	-0.0677	negative		NO:sentiment_score	NASDAQ	12.45	141.75	2026-05-07 10:00:00				-0.107	-0.2483	-0.0535	0.4855	0.0049	-0.2891
VITL	"[""VITL""]"	nPn670XTBa	2026-05-07 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in Vital Farms, Inc. Of Class Action Lawsuit and Upcoming Deadlines - VITL	PR Newswire	36.68	0.1916	0.3703	0.4381	-0.1788	negative		NO:sentiment_score	NASDAQ	12.6	2.86	2026-05-07 10:00:01				-0.2351	-0.3165	-0.1049	0.2646	-0.1503	-0.3768
CWH	"[""CWH""]"	nPn2FfHza	2026-05-07 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in Camping World Holdings, Inc. of Class Action Lawsuit and Upcoming Deadlines - CWH	PR Newswire	58.96	0.1558	0.5031	0.341	-0.3473	negative		NO:sentiment_score	NYSE	8.03	2.55	2026-05-07 10:00:01				-0.1249	-0.1777	-0.0588	0.4411	-0.0781	-0.2036
NUAI	"[""NUAI""]"	nPn1PbDMwa	2026-05-07 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in New Era Energy & Digital, Inc. of Class Action Lawsuit and Upcoming Deadlines - NUAI	PR Newswire	73.85	0.2114	0.3968	0.3918	-0.1854	negative		NO:sentiment_score	NASDAQ	5.31	10.4	2026-05-07 10:00:01				-0.1164	-0.2055	-0.0622	0.0633	-0.0389	-0.2403
BW	"[""BW""]"	nPn1kkcq1a	2026-05-07 10:00:01	Pomerantz Law Firm Announces the Filing of a Class Action Against Babcock & Wilcox Enterprises, Inc.   and Certain Officers - BW	PR Newswire	130.21	0.1408	0.2476	0.6116	-0.1068	negative		NO:sentiment_score	NYSE	16.0	1.98	2026-05-07 10:00:01				0.158	0.2097	0.1056	0.8208	0.0791	0.2381
LCID	"[""LCID""]"	nPn2QkHSla	2026-05-07 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Lucid Group, Inc. - LCID	PR Newswire	109.91	0.1265	0.0986	0.7749	0.028	neutral		NO:sentiment_score	NASDAQ	6.26	2.29	2026-05-07 10:00:02				-0.039	-0.0207	-0.0114	-0.0114	-0.01	-0.039
